number,date,username,issue_name,issue_url,closed_at,closed_by,labels,milestone,comment_username,comment_date,comment_contents
1154,2025-10-06T16:07:46Z,asoplata,MAINT: Update to NEURON v9.0,https://github.com/jonescompneurolab/hnn-core/issues/1154,,,,,,,
1151,2025-10-01T03:15:35Z,github-actions[bot],Monthly issue metrics report,https://github.com/jonescompneurolab/hnn-core/issues/1151,2025-10-06T16:03:38Z,asoplata,,,,,
1149,2025-09-24T17:28:53Z,asoplata,REF: Remove celltype hardcoding from viz.py,https://github.com/jonescompneurolab/hnn-core/issues/1149,,,"good first issue, refactor, visualization",,,,
1148,2025-09-24T16:51:53Z,asoplata,"REF: Improve terminology around ""connection"" vs ""connectivity"" vs ""drive""",https://github.com/jonescompneurolab/hnn-core/issues/1148,,,"documentation, refactor",,ntolley,2025-09-24T17:30:43Z,Perhaps it'd be better to clarify it as _local_ connectivity?
1147,2025-09-19T23:03:00Z,asoplata,OPT: Add support for non-RMSE loss functions,https://github.com/jonescompneurolab/hnn-core/issues/1147,,,optimization,,,,
1146,2025-09-19T22:58:27Z,asoplata,ENH/VIZ: Add visualization of contributions to “up versus down” flow,https://github.com/jonescompneurolab/hnn-core/issues/1146,,,"visualization, science",,,,
1145,2025-09-19T22:53:07Z,asoplata,CI: Check and see if using uv instead of pip speeds up CI,https://github.com/jonescompneurolab/hnn-core/issues/1145,,,"testing, continuous-integration",,asoplata,2025-10-24T20:42:06Z,"It seems that *proper* use of `uv` requires your `[project]` metadata to be in `pyproject.toml`, but since ours is still in `setup.py`, it is likely to be unnecessarily difficult to really use `uv` until #1111 is completed."
1145,2025-09-19T22:53:07Z,asoplata,CI: Check and see if using uv instead of pip speeds up CI,https://github.com/jonescompneurolab/hnn-core/issues/1145,,,"testing, continuous-integration",,asoplata,2025-10-30T13:00:13Z,Good intro to using `uv` from scratch https://emily.space/posts/251023-uv
1144,2025-09-19T22:48:15Z,asoplata,TEST: Make tests able to run on non-editable install,https://github.com/jonescompneurolab/hnn-core/issues/1144,,,testing,,,,
1143,2025-09-19T22:39:58Z,asoplata,BUG: GUI: Dataset dropdowns inconsistent between simulated and loaded data,https://github.com/jonescompneurolab/hnn-core/issues/1143,,,gui,,,,
1142,2025-09-19T22:33:39Z,asoplata,MAINT: Rename master branch to main,https://github.com/jonescompneurolab/hnn-core/issues/1142,,,,,,,
1141,2025-09-19T22:28:53Z,asoplata,"ENH/INSTALL/DOC: Upon pip install, print out text that includes a link to the user survey",https://github.com/jonescompneurolab/hnn-core/issues/1141,,,"documentation, installation",,,,
1140,2025-09-19T22:27:23Z,asoplata,REF: Remove Params from public API and merge read_params(),https://github.com/jonescompneurolab/hnn-core/issues/1140,,,refactor,,,,
1139,2025-09-19T21:55:29Z,asoplata,"ENH: Enable ways to ""diff"" or differentiate two Networks",https://github.com/jonescompneurolab/hnn-core/issues/1139,,,,,,,
1138,2025-09-19T21:40:00Z,asoplata,BUG: Histogram not plotting on simulations where tstop ≤ 50ms,https://github.com/jonescompneurolab/hnn-core/issues/1138,,,gui,,,,
1137,2025-09-19T21:36:03Z,asoplata,ENH/GUI: Auto-append new simulation name in GUI,https://github.com/jonescompneurolab/hnn-core/issues/1137,,,"good first issue, gui",,,,
1136,2025-09-19T21:31:18Z,asoplata,"ENH: Enable simulation ""continuance""",https://github.com/jonescompneurolab/hnn-core/issues/1136,,,"input/output, high difficulty",,,,
1135,2025-09-19T21:28:37Z,asoplata,MAINT: Imports should be moved to top of file,https://github.com/jonescompneurolab/hnn-core/issues/1135,,,refactor,,,,
1134,2025-09-19T20:14:23Z,asoplata,TEST: Add Intel “macos-13” to some tests,https://github.com/jonescompneurolab/hnn-core/issues/1134,,,testing,,,,
1133,2025-09-19T20:12:45Z,asoplata,MAINT/REF: Unify logging,https://github.com/jonescompneurolab/hnn-core/issues/1133,,,refactor,,asoplata,2025-09-19T20:46:13Z,"Also, see prior comment here https://github.com/jonescompneurolab/hnn-core/issues/737#issuecomment-2164258292"
1132,2025-09-19T20:02:01Z,asoplata,REF/MOD: Try to modify MOD files to support CoreNEURON for speedup,https://github.com/jonescompneurolab/hnn-core/issues/1132,,,refactor,,,,
1131,2025-09-19T19:42:21Z,asoplata,ENH/GUI: Add Python console in GUI,https://github.com/jonescompneurolab/hnn-core/issues/1131,,,gui,,,,
1130,2025-09-19T19:26:16Z,asoplata,ENH/GUI: Add ability to plot drive arrows on dipole plots,https://github.com/jonescompneurolab/hnn-core/issues/1130,,,"gui, visualization",,,,
1129,2025-09-19T19:19:36Z,asoplata,ENH/GUI: Sync plot parameters with plot type,https://github.com/jonescompneurolab/hnn-core/issues/1129,,,gui,,,,
1128,2025-09-19T19:09:50Z,asoplata,ENH/VIZ: Introduce visualization of between-layer current exchange,https://github.com/jonescompneurolab/hnn-core/issues/1128,,,visualization,,,,
1127,2025-09-19T19:06:35Z,asoplata,MAINT: Transition sphinx build CircleCI to GitHub Actions,https://github.com/jonescompneurolab/hnn-core/issues/1127,,,"documentation, website",,,,
1125,2025-09-19T17:07:52Z,asoplata,BUG: Re-introduce interactive plotting buttons,https://github.com/jonescompneurolab/hnn-core/issues/1125,,,gui,,jasmainak,2025-09-19T17:43:10Z,yeah it's `ipympl` that makes this happen!
1124,2025-09-19T17:02:03Z,asoplata,REF/GUI: General refactors of GUI and GUI testing,https://github.com/jonescompneurolab/hnn-core/issues/1124,,,"refactor, gui",,,,
1123,2025-09-19T16:15:08Z,asoplata,ENH: GUI: Update histogram to aggregate all prox/dist inputs when building legend,https://github.com/jonescompneurolab/hnn-core/issues/1123,,,"good first issue, gui",,asoplata,2025-10-21T13:56:29Z,"Depending on the complexity of doing this in the GUI, it might be too complex for newcomers, but I suspect it isn't."
1122,2025-09-17T17:07:54Z,asoplata,ENH: GUI: Update tab names in GUI to reflect type of plot,https://github.com/jonescompneurolab/hnn-core/issues/1122,,dylansdaniels,gui,,ntolley,2025-09-18T14:35:29Z,Might be complicated by the ability to swap the figures in the subpanels? But in principle I like the suggestion
1122,2025-09-17T17:07:54Z,asoplata,ENH: GUI: Update tab names in GUI to reflect type of plot,https://github.com/jonescompneurolab/hnn-core/issues/1122,,dylansdaniels,gui,,dylansdaniels,2025-09-18T20:10:26Z,"I don't *think* (but can't be certain...) this is what I was referring to actually. There are a couple of things this could have been:  1. Some figures are missing titles within the tab  2. Figure indexing is not ""context aware"" - index numbers will always go up even when earlier figures are closed ... Not sure if this is the way we want this to work. If so then it's not a problem. But may want to consider other ideas  3. *Maybe* info about the plot sizing such as (3x1), (2x1), etc.?"
1122,2025-09-17T17:07:54Z,asoplata,ENH: GUI: Update tab names in GUI to reflect type of plot,https://github.com/jonescompneurolab/hnn-core/issues/1122,,dylansdaniels,gui,,dylansdaniels,2025-09-18T20:13:30Z,"Whoops accidentally closed this, my bad. Mobile app is funky. Reopening"
1122,2025-09-17T17:07:54Z,asoplata,ENH: GUI: Update tab names in GUI to reflect type of plot,https://github.com/jonescompneurolab/hnn-core/issues/1122,,dylansdaniels,gui,,dylansdaniels,2025-09-18T20:40:44Z,(And it probably isn't point 2 above since that doesn't seem relevant to this issue title in any way. But that's the only other tab-related thing I can think of that comes to mind right now...)
1121,2025-09-17T17:02:09Z,asoplata,ENH: GUI: tstop mismatch when loading external drives before increasing tstop in Simulation tab,https://github.com/jonescompneurolab/hnn-core/issues/1121,,,gui,,,,
1120,2025-09-17T16:12:43Z,asoplata,ENH: GUI spectrogram for multiple trials should use average and it currently uses a single trial,https://github.com/jonescompneurolab/hnn-core/issues/1120,,,gui,,,,
1118,2025-09-16T21:15:30Z,asoplata,REF/TEST: Large test refactors,https://github.com/jonescompneurolab/hnn-core/issues/1118,,,"refactor, testing",,,,
1117,2025-09-16T20:52:40Z,asoplata,DOC: Document using and importing saved neocortical models,https://github.com/jonescompneurolab/hnn-core/issues/1117,,,"documentation, gui",,,,
1116,2025-09-16T20:49:08Z,asoplata,REF: GUI: Clarify dataset name terminology,https://github.com/jonescompneurolab/hnn-core/issues/1116,,,gui,,,,
1115,2025-09-16T20:44:32Z,asoplata,ENH: GUI: Remove “scrollability” of input fields in the GUI,https://github.com/jonescompneurolab/hnn-core/issues/1115,,,gui,,,,
1113,2025-09-16T20:30:53Z,asoplata,CLOUD/META: Improve cloud support for HNN,https://github.com/jonescompneurolab/hnn-core/issues/1113,,,cloud/containerization,,,,
1112,2025-09-16T20:02:08Z,asoplata,MAINT: Re-enable Codecov,https://github.com/jonescompneurolab/hnn-core/issues/1112,,,testing,,,,
1111,2025-09-16T19:57:26Z,asoplata,MAINT: Migrate config/metadata to `pyproject.toml` as much as possible,https://github.com/jonescompneurolab/hnn-core/issues/1111,,,,,asoplata,2025-09-16T19:59:48Z,Some of this has already been accomplished in https://github.com/jonescompneurolab/hnn-core/pull/948 which is quite out of date.
1109,2025-09-12T21:11:49Z,asoplata,DOC: Review Public API inclusion,https://github.com/jonescompneurolab/hnn-core/issues/1109,,,documentation,,,,
1105,2025-09-01T03:24:48Z,github-actions[bot],Monthly issue metrics report,https://github.com/jonescompneurolab/hnn-core/issues/1105,2025-09-12T16:19:54Z,asoplata,,,,,
1101,2025-08-14T20:24:12Z,asoplata,BUG: `test_batch_simulate.py::test_parallel_execution` sometimes fails,https://github.com/jonescompneurolab/hnn-core/issues/1101,,,"parallelization, testing, high difficulty",,,,
1097,2025-08-01T03:58:53Z,github-actions[bot],Monthly issue metrics report,https://github.com/jonescompneurolab/hnn-core/issues/1097,2025-08-25T15:54:37Z,asoplata,,,asoplata,2025-08-25T15:54:49Z,LGTM /s
1092,2025-07-21T18:31:48Z,asoplata,MAINT: Replace `example` scripts with notebooks?,https://github.com/jonescompneurolab/hnn-core/issues/1092,2025-09-12T16:41:50Z,asoplata,"documentation, testing, website",,asoplata,2025-09-12T16:41:50Z,Deprecated by https://github.com/jonescompneurolab/textbook/pull/114
1089,2025-07-14T16:55:40Z,asoplata,"CI: Github Actions still indicating, but not running, 3.8 and 3.12 tests",https://github.com/jonescompneurolab/hnn-core/issues/1089,2025-07-14T20:29:54Z,asoplata,testing,,asoplata,2025-07-14T20:29:55Z,"Resolved: Turns out the ""Required"" tag for checks is based on which checks an admin has manually required as part of `master`'s ""branch protection rules"". This is why not all checks are explicitly required for a merge to be allowed.  For future reference, you can edit the specific Github Actions considered Required by going to the repo's Settings > Branches > ""edit"" the Branch protection rules for `master`. Also, despite these being ""Required"", admins can still force the PR to go through and bypass these rules."
1087,2025-07-14T16:46:50Z,asoplata,BUG: Re-simulating a `Network` sometimes causes MPI errors,https://github.com/jonescompneurolab/hnn-core/issues/1087,,,parallelization,,,,
1082,2025-07-01T03:42:34Z,github-actions[bot],Monthly issue metrics report,https://github.com/jonescompneurolab/hnn-core/issues/1082,2025-08-25T15:57:12Z,asoplata,,,asoplata,2025-08-25T15:57:12Z,Thanks for your contribution! /s
1080,2025-06-25T20:38:14Z,asoplata,MAINT: Accomodating new COBYLA backend,https://github.com/jonescompneurolab/hnn-core/issues/1080,,,"maintenance, testing, optimization",,ntolley,2025-08-04T15:57:03Z,"Hey @asoplata, just following up that there should be no issue with forcing this constraint. The algorithm proceeds by proposing new parameter sets to simulate at every iteration, and eventually converges when it is unable to identify new regions of parameter space that lower the loss.  Ideally you always want the algorithm to converge, so the  max_iter could be set to a ludicrously large number if you wanted. But in reality if there is something about that problem that keeps the optimizer running too many iterations, it may be good to precisely define what is ""too much"" by fixing the max_iter.  FYI it was surprisingly hard to dig up where COBYLA was first published with its formal mathematical definition. The analogy in the introduction is quite good at describing the problem: https://link.springer.com/content/pdf/10.1007/978-94-015-8330-5.pdf#page=57"
1066,2025-06-12T18:30:37Z,asoplata,"FEAT: Add ""true"" cell location plotting",https://github.com/jonescompneurolab/hnn-core/issues/1066,,,visualization,,dikshant182004,2025-09-15T16:58:02Z,"hi @asoplata ,hope u are good ,i would like to work on this issue , can u plz assign it to me ."
1066,2025-06-12T18:30:37Z,asoplata,"FEAT: Add ""true"" cell location plotting",https://github.com/jonescompneurolab/hnn-core/issues/1066,,,visualization,,asoplata,2025-09-16T15:09:28Z,"Hey Dikshant! You are welcome to work on this issue and submit a PR, but we tend not to assign issues to specific people in general, and unless we want to exclude others from working on it explicitly. If you do make a PR and get it accepted, then the issue will be closed and your authorship will be added to our public Changelog, as it has been before for your prior PRs.  Note that this issue may be a bit tricky, since it requires extracting 3D data from the NEURON representation of our cells *after* they have been created inside NEURON, which currently requires a simulation to be started. Good luck, and thanks for offering to work on this!"
1065,2025-06-11T19:49:09Z,asoplata,FEAT/GUI: Add Optimization support to GUI,https://github.com/jonescompneurolab/hnn-core/issues/1065,,,"enhancement, gui, optimization, high difficulty",,,,
1061,2025-06-06T18:57:58Z,katduecker,Strange LFP and CSD profile - position of neurons not updated?,https://github.com/jonescompneurolab/hnn-core/issues/1061,2025-06-12T18:13:39Z,asoplata,,,asoplata,2025-06-12T18:13:39Z,Resolved by #1062
1054,2025-06-01T03:43:14Z,github-actions[bot],Monthly issue metrics report,https://github.com/jonescompneurolab/hnn-core/issues/1054,2025-06-02T17:52:41Z,asoplata,,,,,
1052,2025-05-28T20:23:47Z,asoplata,BUG: Windows unit tests are failing,https://github.com/jonescompneurolab/hnn-core/issues/1052,2025-06-17T14:27:48Z,dylansdaniels,,,,,
1050,2025-05-20T20:32:30Z,asoplata,BUG: MPI forces maximum limit on drive number (and possibly network complexity),https://github.com/jonescompneurolab/hnn-core/issues/1050,,,"parallelization, high difficulty",,asoplata,2025-09-12T16:58:00Z,"I will note that the provided script no longer runs into the Timeout issue on the latest `master`, due to our increase of the Timeout window merged in https://github.com/jonescompneurolab/hnn-core/commit/7f3b7a932a9f25652b8580800cce3a7dfd9efd62 . That said, this still needs investigation, either for a solution or at least for an estimate of ""what is the max size of HNN model that can be run successfully"", etc."
1049,2025-05-07T17:14:21Z,asoplata,GUI: Sync y-axes of `PSD Layers` plotting,https://github.com/jonescompneurolab/hnn-core/issues/1049,,,"good first issue, gui",,,,
1047,2025-05-01T03:19:15Z,github-actions[bot],Monthly issue metrics report,https://github.com/jonescompneurolab/hnn-core/issues/1047,2025-05-07T16:45:58Z,asoplata,,,,,
1041,2025-04-09T15:41:54Z,asoplata,"INSTALL: Investigate Windows WSL install, including MPI",https://github.com/jonescompneurolab/hnn-core/issues/1041,2025-09-12T17:02:12Z,asoplata,installation,,asoplata,2025-05-07T16:53:40Z,"I have tested this locally and it works! On Windows, I was able to 1. install WSL, 2. install Miniconda, 3. install the MPI-including version of our Linux instruction commands (without modification!), then 4. get our GUI to run in the browser *with full MPI parallelization*! I will try to make a PR that adds this installation path to the Install page next week. It is several more steps than installing the non-MPI version in native Windows, *but* is arguably easier for the user since they can just copy and paste several commands in 2 windows (removing the requirement of installing the NEURON binary before the HNN-Core pip install, etc.). Also, once we start delivering a Conda package with HNN and MPI included for Linux, we will be able to use that same Linux-Conda-package as an installer on Windows (through WSL), and Windows users will *also* benefit from having to run many fewer commands."
1041,2025-04-09T15:41:54Z,asoplata,"INSTALL: Investigate Windows WSL install, including MPI",https://github.com/jonescompneurolab/hnn-core/issues/1041,2025-09-12T17:02:12Z,asoplata,installation,,asoplata,2025-09-12T17:02:12Z,A complete guide to installing with WSL is now available on our canonical Installation webpage here https://jonescompneurolab.github.io/textbook/content/01_getting_started/installation.html
1040,2025-04-08T18:12:32Z,asoplata,"DOC: Optimize notebooks require MPI & opt install, but this is not stated",https://github.com/jonescompneurolab/hnn-core/issues/1040,,,,,,,
1039,2025-04-06T20:51:05Z,asoplata,"SCI: For Alpha/Beta, L2 no longer shows stronger beta than L5",https://github.com/jonescompneurolab/hnn-core/issues/1039,,,"visualization, science",,,,
1032,2025-04-01T03:15:36Z,github-actions[bot],Monthly issue metrics report,https://github.com/jonescompneurolab/hnn-core/issues/1032,2025-04-15T20:12:34Z,asoplata,,,,,
1031,2025-03-31T18:17:41Z,asoplata,MAINT: Decrease frequency of running Linkcheck,https://github.com/jonescompneurolab/hnn-core/issues/1031,2025-06-04T19:34:14Z,asoplata,,,,,
1025,2025-03-25T22:01:25Z,dylansdaniels,ENH/GUI: Add option for overlaying layer-specific dipoles on raster plot,https://github.com/jonescompneurolab/hnn-core/issues/1025,2025-03-27T20:57:03Z,asoplata,,0.4,dylansdaniels,2025-03-25T22:05:01Z,Connecting to PR #1026
1025,2025-03-25T22:01:25Z,dylansdaniels,ENH/GUI: Add option for overlaying layer-specific dipoles on raster plot,https://github.com/jonescompneurolab/hnn-core/issues/1025,2025-03-27T20:57:03Z,asoplata,,0.4,asoplata,2025-03-27T20:57:03Z,Resolved via the aforementioned PR.
1023,2025-03-24T20:05:00Z,asoplata,"GUI: Bug: `PSD layer` x-axes limits are set by simulation time, not frequencies",https://github.com/jonescompneurolab/hnn-core/issues/1023,2025-03-31T19:36:53Z,asoplata,"bug, gui",0.4,asoplata,2025-03-24T20:28:44Z,"Definitely an issue caused by the fact that this check  https://github.com/jonescompneurolab/hnn-core/blob/master/hnn_core/gui/_viz_manager.py#L425-L428 is not excluding `plot_type`s like `layer2/3 PSD`. Hopefully should be an easy fix, will try to do this this week."
1016,2025-03-17T15:17:29Z,asoplata,GUI: Add arguments for both marker size in rastergrams and whether to include legend,https://github.com/jonescompneurolab/hnn-core/issues/1016,2025-03-18T17:42:56Z,asoplata,gui,0.4,dylansdaniels,2025-03-17T18:13:18Z,See PR #1017
1016,2025-03-17T15:17:29Z,asoplata,GUI: Add arguments for both marker size in rastergrams and whether to include legend,https://github.com/jonescompneurolab/hnn-core/issues/1016,2025-03-18T17:42:56Z,asoplata,gui,0.4,asoplata,2025-03-18T17:42:56Z,"Resolved by both #1017 and #1018, thanks @dylansdaniels !"
1014,2025-03-17T15:14:49Z,asoplata,GUI: force layer-specific dipole y-axes to use same range,https://github.com/jonescompneurolab/hnn-core/issues/1014,2025-03-26T16:19:58Z,asoplata,gui,0.4,Chetank99,2025-03-18T06:02:20Z,"@asoplata Can I try it out? Here is what I was thinking.... The 'PSD Layers (3x1)' template, which is displaying layer-specific dipoles, is not standardizing the y-axes. I guess this would be making the comparision between L2 and L5 dipoles difficult.  I went through the code base and plotted to figure out that these changes have to be made in the `hnn_core/gui/_viz_manager.py` file. Function to change would be `_postprocess_template`.  I was thinking to create a list of templates that need the standardized y-axes Apply the same standardization logic to all templates in this list  like this: ``` dipole_layer_templates = ['Dipole Layers (3x1)', 'PSD Layers (3x1)'] ```  then take min of lower limits, max of upper limits and then apply them to fig.axes"
1014,2025-03-17T15:14:49Z,asoplata,GUI: force layer-specific dipole y-axes to use same range,https://github.com/jonescompneurolab/hnn-core/issues/1014,2025-03-26T16:19:58Z,asoplata,gui,0.4,asoplata,2025-03-18T17:44:54Z,"Hello @Chetank99 , unfortunately this is not a good first issue, because we are planning on doing it ourselves in time for our April Workshop occurring very soon. Thanks for your input though!"
1014,2025-03-17T15:14:49Z,asoplata,GUI: force layer-specific dipole y-axes to use same range,https://github.com/jonescompneurolab/hnn-core/issues/1014,2025-03-26T16:19:58Z,asoplata,gui,0.4,dylansdaniels,2025-03-24T17:47:10Z,#1022
1014,2025-03-17T15:14:49Z,asoplata,GUI: force layer-specific dipole y-axes to use same range,https://github.com/jonescompneurolab/hnn-core/issues/1014,2025-03-26T16:19:58Z,asoplata,gui,0.4,asoplata,2025-03-26T16:19:58Z,Resolved by #1022
1005,2025-03-03T16:41:45Z,asoplata,FEAT: Add GUI parameter-table export and diff,https://github.com/jonescompneurolab/hnn-core/issues/1005,,,"enhancement, gui",0.5,jasmainak,2025-03-03T16:47:28Z,"@asoplata pandas is a huge dependency. You might want to support this more natively. An example is to use `html_repr` and some templating engine like jinja ... see how MNE does it. That will show nice tables in jupyter notebook  Btw, we also had a related issue on #423"
1005,2025-03-03T16:41:45Z,asoplata,FEAT: Add GUI parameter-table export and diff,https://github.com/jonescompneurolab/hnn-core/issues/1005,,,"enhancement, gui",0.5,jasmainak,2025-03-03T16:50:44Z,"Also you probably want to have a ""hierarchy of reprs"" ... i.e., the top-level Network repr would show that there are 4 cell types. But then the cell class will have its own repr which will display more information about that cell-type itself."
1005,2025-03-03T16:41:45Z,asoplata,FEAT: Add GUI parameter-table export and diff,https://github.com/jonescompneurolab/hnn-core/issues/1005,,,"enhancement, gui",0.5,asoplata,2025-03-03T17:09:07Z,"Ah okay, for some reason I assumed we already had pandas as a dependency. Markdown table syntax is very easy to make, so it is probably simplest to just get all the parameters in a dictionary, write the header, then append lines like `f""| {key} | {value} |""`."
1005,2025-03-03T16:41:45Z,asoplata,FEAT: Add GUI parameter-table export and diff,https://github.com/jonescompneurolab/hnn-core/issues/1005,,,"enhancement, gui",0.5,Chetank99,2025-03-14T08:23:29Z,"@asoplata for the first task how is this approach of md txt....I wanted to run it by you before I put in a PR. making a new func in hnn_core/hnn_io.py, grab all the editable params from a Network obj -> format them as simple md tables. I ran into a couple hiccups with Unicode chars and handling some of the more complex nested parameters, but think I've got those sorted out. I went with sections that match what you'd see in the GUI (network structure, connectivity, drives, cell params, etc).   does this sound like what you had in mind? any specific things you think I should focus on or change before I submit the PR?"
1005,2025-03-03T16:41:45Z,asoplata,FEAT: Add GUI parameter-table export and diff,https://github.com/jonescompneurolab/hnn-core/issues/1005,,,"enhancement, gui",0.5,asoplata,2025-03-14T20:55:58Z,"Hey @Chetank99 that certainly sounds like what I had in mind! Any PRs are welcome, even if they're incomplete!"
1005,2025-03-03T16:41:45Z,asoplata,FEAT: Add GUI parameter-table export and diff,https://github.com/jonescompneurolab/hnn-core/issues/1005,,,"enhancement, gui",0.5,Chetank99,2025-03-15T07:22:15Z,@asoplata thanks! I tried out a few things and sent my PR https://github.com/jonescompneurolab/hnn-core/pull/1013
1002,2025-03-01T03:01:06Z,github-actions[bot],Monthly issue metrics report,https://github.com/jonescompneurolab/hnn-core/issues/1002,2025-03-03T19:50:13Z,asoplata,,,,,
999,2025-02-21T17:50:30Z,asoplata,BUG: Recording cellular data from MPI simulations is significantly slower than non-MPI,https://github.com/jonescompneurolab/hnn-core/issues/999,,,parallelization,,,,
997,2025-02-14T18:16:31Z,katduecker,SCI: Hard-coded baseline correction,https://github.com/jonescompneurolab/hnn-core/issues/997,,,"default-model-update, science",,,,
996,2025-02-14T18:09:06Z,katduecker,SCI: Hard-coded initial membrane potentials,https://github.com/jonescompneurolab/hnn-core/issues/996,,,"default-model-update, science",,,,
995,2025-02-13T15:30:27Z,asoplata,DOCS: Fix inconsistencies in existing parameter docstrings,https://github.com/jonescompneurolab/hnn-core/issues/995,,,"documentation, good first issue",,dikshant182004,2025-02-22T06:43:37Z,i have updated some of the funtions  docstring if that looks good we can scale it up throughout the code base .
995,2025-02-13T15:30:27Z,asoplata,DOCS: Fix inconsistencies in existing parameter docstrings,https://github.com/jonescompneurolab/hnn-core/issues/995,,,"documentation, good first issue",,gearupsmile,2025-03-24T19:23:22Z,"As part of my GSoC 2025 application, I’ve contributed to improving the clarity and completeness of docstrings in the viz.py module. This includes refining parameter explanations, return types, and adding missing docstrings for consistency across the module.  I've opened a pull request here: [#1021](https://github.com/jonescompneurolab/hnn-core/pull/1021). Looking forward to your feedback and suggestions!  Best regards, Anushka Sharma"
993,2025-02-10T16:02:32Z,asoplata,DOCS: Add/Expand docstrings of all functions with arguments,https://github.com/jonescompneurolab/hnn-core/issues/993,,,"documentation, good first issue",,,,
992,2025-02-07T23:29:13Z,asoplata,TEST: Current problem with MacOS CI runners,https://github.com/jonescompneurolab/hnn-core/issues/992,2025-02-10T20:23:08Z,ntolley,,,asoplata,2025-02-10T17:02:50Z,"![Image](https://github.com/user-attachments/assets/79127dc3-c5ae-423a-832a-78c03dcde850)   I think I found the cause, and an easy way to fix it. Will make a PR shortly."
992,2025-02-07T23:29:13Z,asoplata,TEST: Current problem with MacOS CI runners,https://github.com/jonescompneurolab/hnn-core/issues/992,2025-02-10T20:23:08Z,ntolley,,,asoplata,2025-02-10T18:09:04Z,"My prior guess was wrong, but I have a new hypothesis, still working."
990,2025-02-03T21:35:32Z,asoplata,DOCS: Check spelling in docstrings,https://github.com/jonescompneurolab/hnn-core/issues/990,,,"documentation, good first issue",,uchiha-vivek,2025-03-11T07:10:07Z,"Sir @asoplata  i have understood the problem .   **My understanding of the problem :**  1-) Currently we are using python codespell library for spell checking  but it olny corrects common mispelling errors . 2-) We need a solution to handle complex spell checking , typo issue and correct grammar formatting which might be missed by codespell library .   **Probable Solutions :**  1-) language_tool_python and  pre-commit packages can be used but still it can have some errors. 2-) The check can be done manually with understanding of codebase and necessary checks can be made and fixed .  I will try to use approach 2 for now and after fixing few checks will try to raise a pr or draft pr for check . Accordingly i will make more updates after the review and comments from maintainers .  I have experience of working with documentation of codebase in startups so i can help with this issue .   Please let me know if i am missing something .   Please assign me this issue ."
990,2025-02-03T21:35:32Z,asoplata,DOCS: Check spelling in docstrings,https://github.com/jonescompneurolab/hnn-core/issues/990,,,"documentation, good first issue",,asoplata,2025-03-14T20:54:50Z,"Thank you @uchiha-vivek . While we are willing to consider more robust language checking tools such as the ones you have suggested, manual checking is still essential in our case. This is because we must use many scientific terms in our documentation, and these terms are usually (in my experience) not present at all, or even partially, in most office software dictionary checkers (including OpenOffice, which uses the same backend as `language-tool-python`). I was not aware of `language-tool-python` before, however, thanks for bringing it to my attention!  Thanks for any help you can provide, especially via PRs. I do not plan on assigning this issue to any one person, in part because I'm hopeful that we will have multiple people submit PRs that are relevant to the spelling issues around the code."
